Mot,Prononciation,Type
bidépartementalisation,depaʁtəmɑ̃talizasjɔ̃,nom
bilantiel,bilɑ̃sj,adjectif
bilantielle,bilɑ̃sj,adjectif_flexion
bilantielles,bilɑ̃sj,adjectif_flexion
bilantiels,bilɑ̃sj,adjectif_flexion
billigs,bilik,nom_flexion
biltongs,biltɔ̃ŋ,nom_flexion
bimestrielles,bimɛstʁijɛl,adjectif_flexion
binationalité,binasjɔ̃nalite,nom
binationalités,binasjɔ̃nalite,nom_flexion
binocleuse,binɔklø,nom_flexion
binocleuses,binɔklø,nom_flexion
bioagresseur,bjoaɡʁɛsœʁdekyltyʁ,nom
bioagresseurs,bjoaɡʁɛsœʁdekyltyʁ,nom_flexion
bipentaphonique,bipœ̃tafonik,adjectif
birse,biʁ,verbe_flexion
birsent,biʁ,verbe_flexion
birses,biʁ,verbe_flexion
bisaïeux,bizajœl,nom_flexion
bischoffs,biʃɔf,nom_flexion
bisounoursifiant,bizonuʁsifjɑ̃,verbe_flexion
bispatulée,bipsatyle,adjectif_flexion
bispatulées,bipsatyle,adjectif_flexion
bispatulés,bipsatyle,adjectif_flexion
bisseuses,bisœʁ,nom_flexion
bissextilise,bissekstilisz,verbe_flexion
bissextilisent,bissekstilisz,verbe_flexion
bitos,bitos,nom
bizounée,ʁəbizune,verbe_flexion
bizounées,ʁəbizune,verbe_flexion
bizounés,ʁəbizune,verbe_flexion
blade,blɛjd,nom_num=2
blaffard,baflaʁ,nom
blaffards,baflaʁ,nom_flexion
blaffs,blaf,nom_flexion
blanchettes,blɑ̃ʃɛtə,nom_flexion
blastozoïdes,blastɔʒɔid,nom_flexion
blinder,səblɛ̃de,verbe_num=2
blockbuster,blɔkbəstœʁ,nom
blockbusters,blɔkbəstœʁ,nom_flexion
blogguer,blɔɡe,verbe
blossissemens,blɔsimɑ̃,nom_flexion
blossissement,blɔsimɑ̃,nom
blossissements,blɔsimɑ̃,nom_flexion
blowjobs,blɔdjɔb,nom_flexion
bluegrass,bluɡʁas,nom
bluejean,bludʒin,nom
bluejeans,bludʒin,nom_flexion
blues,bluz,nom
bluesman,bluzman,nom
bluesmans,bluzman,nom_flexion
bluesmen,bluzmɛn,nom_flexion
bluesy,bluzi,adjectif
bluffa,bløfa,verbe_flexion
bluffai,bløfe,verbe_flexion
bluffaient,bløfɛ,verbe_flexion
bluffais,bløfɛ,verbe_flexion
bluffait,bløfɛ,verbe_flexion
bluffant,bløfɑ̃,verbe_flexion
bluffante,bløfɑ̃t,adjectif_flexion
bluffantes,bløfɑ̃t,adjectif_flexion
bluffants,bløfɑ̃,adjectif_flexion
bluffas,bløfa,verbe_flexion
bluffasse,bløfas,verbe_flexion
bluffassent,bløfas,verbe_flexion
bluffasses,bløfas,verbe_flexion
bluffassiez,bløfasje,verbe_flexion
bluffassions,bløfasjɔ̃,verbe_flexion
bluffe,bløf,verbe_flexion
bluffent,bløf,verbe_flexion
bluffera,bløfəʁa,verbe_flexion
blufferai,bløfəʁe,verbe_flexion
blufferaient,bløfəʁɛ,verbe_flexion
blufferais,bløfəʁɛ,verbe_flexion
blufferait,bløfəʁɛ,verbe_flexion
blufferas,bløfəʁa,verbe_flexion
blufferez,bløfəʁe,verbe_flexion
blufferiez,bløfəʁje,verbe_flexion
blufferions,bløfəʁjɔ̃,verbe_flexion
blufferons,bløfəʁɔ̃,verbe_flexion
blufferont,bløfəʁɔ̃,verbe_flexion
bluffes,bløf,verbe_flexion
bluffez,bløfe,verbe_flexion
bluffiez,bløfje,verbe_flexion
bluffions,bløfjɔ̃,verbe_flexion
bluffons,bløfɔ̃,verbe_flexion
bluffs,blœf,nom_flexion
bluffâmes,bløfam,verbe_flexion
bluffât,bløfa,verbe_flexion
bluffâtes,bløfat,verbe_flexion
bluffèrent,bløfɛʁ,verbe_flexion
bluffé,bløfe,verbe_flexion
bluffée,bløfe,verbe_flexion
bluffés,bløfe,verbe_flexion
blót,blo,nom
bocager,bɔkaʒɛ,adjectif
bocagers,bɔkaʒɛ,adjectif_flexion
bocquebos,bɔkbos,nom
boentje,buntʃ,nom
boeuf,bœf,variante typographique
bogosité,bɔɡɔ̃zite,nom
bogosités,bɔɡɔ̃zite,nom_flexion
bohrates,bɔʁat,nom_flexion
bohriate,bɔʁiat,nom
bohriates,bɔʁjat,nom_flexion
bohrium,bɔʁjɔm,nom
bois,bwɑ,nom
boissyon,bwasijɔ̃,adjectif
boissyonne,bwasijɔn,adjectif_flexion
boissyonnes,bwasijɔn,adjectif_flexion
boissyons,bwasijɔ̃,adjectif_flexion
bokmål,bukmɔl,nom
bolchévique,bɔlʃəvik,adjectif
bolchéviste,bɔlʃəvist,nom
bolchéviste,bɔlʃəvist,adjectif
bolchévistes,bɔlʃəvist,nom_flexion
bolchévistes,bɔlʃəvist,adjectif_flexion
boliviennes,bɔlivjɛ̃,adjectif_flexion
bollos,bolos,nom
bolos,bolos,nom_num=1
bon,batajɔ̃,nom_num=4
bonding,bɔ̃ndiŋ,nom
bondings,bɔ̃ndiŋ,nom_flexion
bondologue,bɔ̃ndolɔɡ,nom
bondologues,bɔ̃ndolɔɡ,nom_flexion
bonsaïfia,bɔ̃zajifja,verbe_flexion
bonsaïfiai,bɔ̃zajifje,verbe_flexion
bonsaïfiaient,bɔ̃zajifjɛ,verbe_flexion
bonsaïfiais,bɔ̃zajifjɛ,verbe_flexion
bonsaïfiait,bɔ̃zajifjɛ,verbe_flexion
bonsaïfiant,bɔ̃zajifjɑ̃,verbe_flexion
bonsaïfias,bɔ̃zajifja,verbe_flexion
bonsaïfiasse,bɔ̃zajifjas,verbe_flexion
bonsaïfiassent,bɔ̃zajifjas,verbe_flexion
bonsaïfiasses,bɔ̃zajifjas,verbe_flexion
