phonème,graphème,occurences,pourcentage,exemple_1,exemple_2,exemple_3
i,e,513,0.0,abbaye,bebop,because
i,ea,1010,0.0,beach,beacha,beachai
i,ee,1117,0.0,afroqueer,banoffee,banshee
i,eo,198,0.0,people,peoplisa,peoplisai
i,hî,15,0.0,envahîmes,envahîtes,gourmoukhî
i,ï,6616,0.0,abigaïl,abigaïls,abrotanoïde
i,ie,23141,0.02,abadie,abalourdie,abanuie
i,is,2849,0.0,aaris,abachis,abadis
i,o,13,0.0,businesswomen,camerawomen,camérawomen
i,u,2615,0.0,accoquilla,accoquillai,accoquillaient
i,ui,10787,0.01,abloqui,abloquir,abloquira
i,yg,12,0.0,amygdale,amygdalectomies,amygdales
i,ÿ,1,0.0,l’haÿssiens,,
i,ees,12,0.0,banshees,burpees,cherokees
i,his,29,0.0,bushis,envahis,gnocchis
i,hit,6,0.0,envahit,renvahit,retrahit
i,hît,6,0.0,envahît,renvahît,retrahît
i,id,2,0.0,muid,nid,
i,ids,4,0.0,muids,nids,chiens-nids
i,ict,1,0.0,amict,,
i,icts,1,0.0,amicts,,
i,ïe,8,0.0,amuïe,dyschroïe,déshaïe
i,ient,1249,0.0,abrient,abrévient,abérient
i,ies,7218,0.0,abadies,abalourdies,abanuies
i,ïes,12,0.0,amuïes,azalaïes,dyschroïes
i,ii,26,0.0,ascidiiforme,ascidiiformes,briissois
i,il,32,0.0,chartil,courtil,coutil
i,ils,17,0.0,barils,chartils,courtils
i,ïs,13,0.0,amuïs,aïs,coïs
i,it,2126,0.0,abalourdit,abanuit,abasourdit
i,ît,1613,0.0,abalourdît,abanuît,abasourdît
i,its,308,0.0,abduits,acabits,achits
i,ix,34,0.0,crucifix,dix,galloperdrix
i,iz,2,0.0,riz,riz-pain-sel,
i,ye,9,0.0,barye,fuye,harpye
i,yes,8,0.0,abbayes,baryes,harpyes
i,yie,3,0.0,cécidomyie,orgyie,stégomyie
i,yies,2,0.0,cécidomyies,orgyies,
i,ys,130,0.0,afterpartys,aisys,almastys
i,yt,0,0.0,,,
