Mot,Prononciation,Type,Warn_code,Warn_label
antonymisation,ɑ̃.tɔ.nɔ.mi.za.sjɔ̃,nom,-,-
antonymisations,ɑ̃.tɔ.nɔ.mi.za.sjɔ̃,nom_flexion,-,-
antoécien,ɑ̃.te.sjɛ̃,adjectif,-,-
antébois,ɑ̃.tə.bwɑ,nom,-,-
antéprédicatif,ɔ̃.te.pʁe.di.ka.tif,adjectif,-,-
antéprédicatifs,ɔ̃.te.pʁe.di.ka.tif,adjectif_flexion,-,-
antéprédicative,ɔ̃.te.pʁe.di.ka.tiv,adjectif_flexion,-,-
antéprédicatives,ɔ̃.te.pʁe.di.ka.tiv,adjectif_flexion,-,-
aout,u,nom,-,-
aoutien,a.u.sjɛnɛ̃,nom,-,-
août,u,nom,-,-
aoûts,u,nom_flexion,-,-
aphthartodocète,a.fta.ʁtɔ.dʁ.sɛt,adjectif,-,-
apocyns,a.pɔ.sɛ̃,nom_flexion,-,-
aposématique,a.pɔ.ze.ma.k,adjectif,-,-
aposématiques,a.pɔ.ze.ma.kfʁ,adjectif_flexion,-,-
apotélésmatique,a.pɔs.te.le.ma.tik,nom,-,-
apotélésmatique,a.pɔs.te.le.ma.tik,adjectif,-,-
apozème,a.po.zɛːm,nom,err_phonemes,ː
appareillemens,a.pa.ʁɛʎ.mɑ̃,nom_flexion,err_phonemes,ʎ
apparîement,a.pa.ʁi.mɑ̃,nom,-,-
apparîements,a.pa.ʁi.mɑ̃,nom_flexion,-,-
appropriationnismes,a.pʁo.pʁi.a.sjo.nist,nom_flexion,-,-
appropriements,a.pʁɔ.pʁi.mɛ̃,nom_flexion,-,-
appt,a.paʁ.tə.mɑ̃,nom,-,-
apraxique,a.pʁak.si,adjectif,-,-
apérispliffs,a.pe.ʁi.splif,nom_flexion,-,-
aquaculteurs,a.kw.kyl.tœʁ,nom_flexion,-,-
aquapunching,a.kwa.pən.tʃiŋ,nom,-,-
aquariologies,akw.ʁjo.lɔ.ʒi,nom_flexion,-,-
aquariologiques,a.kw.ʁjo.lɔ.ʒik,adjectif_flexion,-,-
aqueducte,a.kə.dyk,nom,-,-
arancini,a.ʁɑ.si.ni,nom,-,-
arawá,a.ʁa.wa,nom,err_letters,á
archetières,aʁ.ʃə.tje,nom_flexion,-,-
archiatrie,aʁ.ʃi.atʁ,nom,-,-
aristodémocratique,a.ʁis.tɔ.de.mɔ.kʁa.si,adjectif,-,-
arrdt,a.ʁɔ̃.dis.mɑ̃,nom,-,-
arrhénathéraie,a.ʁe.na.te.rɛ,nom,err_phonemes,r
arrhénathéraies,a.ʁe.na.te.rɛ,nom_flexion,err_phonemes,r
arrivederci,a.ʁi.ve.dɛʁ.tʃi,interjection,-,-
